index	return	risk	AAPL	SPY	TSLA	YETI	MSFT	NVDA
71	0.053245	0.063718	0.060526	1.413039	0.174380	-0.297778	-0.817052	0.466886
72	0.053840	0.064437	0.059595	1.416722	0.177987	-0.300839	-0.829747	0.476282
73	0.054435	0.065157	0.058664	1.420406	0.181594	-0.303901	-0.842441	0.485678
74	0.055030	0.065879	0.057733	1.424090	0.185201	-0.306963	-0.855135	0.495075
75	0.055625	0.066603	0.056803	1.427773	0.188808	-0.310025	-0.867830	0.504471
76	0.056220	0.067329	0.055872	1.431457	0.192415	-0.313086	-0.880524	0.513867
77	0.056815	0.068057	0.054941	1.435140	0.196022	-0.316148	-0.893219	0.523263
78	0.057410	0.068786	0.054011	1.438824	0.199629	-0.319210	-0.905913	0.532660
79	0.058006	0.069517	0.053080	1.442507	0.203236	-0.322272	-0.918608	0.542056
80	0.058601	0.070249	0.052149	1.446191	0.206843	-0.325333	-0.931302	0.551452
81	0.059196	0.070983	0.051219	1.449874	0.210450	-0.328395	-0.943996	0.560849
82	0.059791	0.071719	0.050288	1.453558	0.214057	-0.331457	-0.956691	0.570245
83	0.060386	0.072455	0.049357	1.457241	0.217664	-0.334519	-0.969385	0.579641
84	0.060981	0.073194	0.048427	1.460925	0.221271	-0.337580	-0.982080	0.589037
85	0.061576	0.073933	0.047496	1.464609	0.224878	-0.340642	-0.994774	0.598434
86	0.062171	0.074674	0.046565	1.468292	0.228485	-0.343704	-1.007469	0.607830
87	0.062766	0.075416	0.045634	1.471976	0.232092	-0.346766	-1.020163	0.617226
88	0.063361	0.076159	0.044704	1.475659	0.235699	-0.349827	-1.032857	0.626623
89	0.063956	0.076904	0.043773	1.479343	0.239306	-0.352889	-1.045552	0.636019
90	0.064551	0.077649	0.042842	1.483026	0.242913	-0.355951	-1.058246	0.645415
91	0.065146	0.078396	0.041912	1.486710	0.246520	-0.359012	-1.070941	0.654811
92	0.065741	0.079144	0.040981	1.490393	0.250127	-0.362074	-1.083635	0.664208
93	0.066336	0.079893	0.040050	1.494077	0.253734	-0.365136	-1.096330	0.673604
94	0.066931	0.080643	0.039120	1.497760	0.257341	-0.368198	-1.109024	0.683000
95	0.067526	0.081394	0.038189	1.501444	0.260948	-0.371259	-1.121718	0.692397
96	0.068121	0.082146	0.037258	1.505128	0.264555	-0.374321	-1.134413	0.701793
97	0.068716	0.082899	0.036328	1.508811	0.268162	-0.377383	-1.147107	0.711189
98	0.069311	0.083652	0.035397	1.512495	0.271769	-0.380445	-1.159802	0.720585
99	0.069906	0.084407	0.034466	1.516178	0.275377	-0.383506	-1.172496	0.729982
100	0.070501	0.118706	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
