	AAPL	SPY	TSLA	YETI	MSFT	NVDA
AAPL	0.0036228136983124577	0.0007839634698272365	0.0030747985032737383	0.002190968004926895	0.0003984559379346811	0.0007677399959338006
SPY	0.0007839634698272365	0.0012252942619498663	0.00197092565025895	0.0016763594758175478	0.0016160574129893126	0.002673028690372485
TSLA	0.0030747985032737383	0.00197092565025895	0.02435781047414409	0.0056741875113745085	0.002689933402734085	-0.0018484762281107713
YETI	0.002190968004926895	0.0016763594758175478	0.0056741875113745085	0.01003613173780723	0.0015321030377417775	0.0012639218199877716
MSFT	0.0003984559379346811	0.0016160574129893126	0.002689933402734085	0.0015321030377417775	0.004022300607597367	0.005432400047581421
NVDA	0.0007677399959338006	0.002673028690372485	-0.0018484762281107713	0.0012639218199877716	0.005432400047581421	0.014287356220785427
